A_TX,SIGMA_TX,X_TX,Y_TX,RES_TX,A_BCN,SIGMA_BCN,X_BCN,Y_BCN,RES_BCN
1573.149047101142,4.795742976712842,19.182807810495063,18.986012894858817,23407606.173581682,4319.007963019806,1.0284103329185355,23.609567653583298,17.578086200912196,1909091.8782781982
1548.2717373401078,4.824332038647567,18.913951892643382,19.155583098349922,23710646.529656593,4401.4066380947315,1.026282075331477,23.60793067306662,17.543876315090415,1937863.1954626732
1578.5614588886492,4.787089960963411,19.333511439193018,19.06760701253367,23154970.097930096,4306.614671054692,1.026305400644114,23.61291480088488,17.55230050753366,2012833.859946473
1566.1833108311669,4.811700341534685,19.10649722853242,19.20988178638825,23083484.8026302,4355.220161913285,1.0271269682573254,23.599002609578463,17.554368978402778,1960772.4504949972
1578.9872344867335,4.804454091066542,19.194044080044762,18.999575718666392,23515474.025771216,4330.1309050596465,1.0239469802969468,23.625810164023676,17.554663246580134,1950586.553748553
1584.9443175246117,4.802605722886648,19.163057636346764,18.972130190419136,24871031.118606824,4362.067003180703,1.028476349812562,23.64033218032739,17.547101784598368,2035533.213048641
1556.4507503417055,4.8343815207189085,18.92331160572857,19.320970606661632,24700513.208389502,4419.0602995760455,1.0176319816818449,23.643828610972918,17.563865714902846,1937596.0410934426
1599.4366742920217,4.775463327506236,19.618941013134787,19.066036411191646,24924926.34250954,4259.68333309425,1.0263967914919816,23.66967385405806,17.598285730555887,1955104.7240705274
1548.6817866888982,4.831322362932333,18.923797391855572,18.440499049695376,25755803.838253845,4418.228690971351,1.0199892534940573,23.66804918572683,16.60679481264046,1760234.0865576083
1587.3164256730406,4.768583563350087,19.466980563892207,18.88458484116697,23805151.579816703,4279.406565021048,1.0241554503760846,23.640046475734152,17.57424172544907,1976024.1287953558
1549.6614599434063,4.823811925239699,18.973324269312343,19.04957670473209,26397108.81746777,4443.084671858004,1.0170632894872405,23.697697597549848,17.52618015668085,2014370.420030622
1584.5204456689091,4.7999939501606015,19.213964573282595,18.72420776656432,24059246.269193143,4334.940010718696,1.0227157224188699,23.640781048988316,17.5389290202651,2094903.000812399
1567.865043868582,4.808630935056296,19.152135067359723,19.14005291982002,23942778.653521955,4343.974680987169,1.0263902581936797,23.62754714436565,17.56284069935569,1917388.356629968
1564.9754555207965,4.808301770692533,19.272346381808376,19.23122952710773,23515546.075427,4326.203515606637,1.0213790380483796,23.622534929265754,17.578661916268715,1886017.7641327057
1562.5360191931059,4.800337926304458,19.30597955426606,19.084446372967022,26017915.243391026,4376.985367339366,1.0219841914285783,23.690557466114797,17.54325974763543,2051685.451678938
1550.2460733862254,4.825986928526746,18.92274476334333,18.96990071087552,25344116.787627205,4411.91135324587,1.019884613465228,23.66588384859142,17.55817077606065,1924995.955229618
1575.659527296207,4.8056203462194285,19.138207794358863,18.901039647600868,24295365.77840088,4339.708717321466,1.0218176433774846,23.650470493382954,17.568033133463246,1909518.345867252
1568.9763235853723,4.811891612703142,19.174929366738326,19.164208575042238,24502641.731904138,4366.901749571514,1.0233430747741599,23.644094120267198,17.551980946661757,2011638.019397866
1569.9618716491132,4.8072260239449465,19.32287292332356,19.15554800848693,24153937.31660802,4349.204183599565,1.023149838221893,23.6402326377509,17.54145183086237,2054491.7026811212
